티커,시가,고가,저가,종가,거래량,거래대금,등락률,s_date
095570,4350,4350,4300,4310,44623,192557645,0.0,2023-07-13
006840,20100,20100,19510,19980,10685,211567270,0.2,2023-07-13
027410,3710,3760,3695,3700,124889,464653835,0.0,2023-07-13
282330,169400,177600,168900,174900,64588,11253752728,3.86,2023-07-13
138930,6720,6790,6700,6730,1134018,7638507660,0.6,2023-07-13
001460,412000,412000,405500,411000,111,45654500,0.98,2023-07-13
001465,143200,143900,143200,143400,112,16081600,0.63,2023-07-13
001040,62600,63300,61200,61600,246611,15257541000,-1.28,2023-07-13
079160,9310,9410,8960,9250,509939,4651870500,-0.64,2023-07-13
00104K,55000,55400,52800,53700,14750,795689100,-2.36,2023-07-13
000120,73500,73800,72000,72100,60147,4361174600,-0.96,2023-07-13
011150,3270,3335,3270,3305,131173,434139620,0.15,2023-07-13
011155,22300,22600,22300,22300,60,1349050,1.36,2023-07-13
001045,43550,43550,43100,43200,845,36470400,0.12,2023-07-13
097950,280500,282500,277000,277000,50106,13969892500,0.36,2023-07-13
097955,132000,132300,131100,131900,1856,244260000,0.46,2023-07-13
000590,62600,62900,61100,61400,4679,289392600,1.32,2023-07-13
012030,2155,2190,2130,2180,1909106,4137370400,0.69,2023-07-13
016610,3995,4045,3995,4000,27471,110491015,0.13,2023-07-13
005830,74000,74800,72300,72300,231829,16969489600,-0.82,2023-07-13
000990,61500,61600,60400,60700,502216,30570052400,-0.82,2023-07-13
000995,23050,24900,22000,22050,28389,633121850,-34.18,2023-07-13
139130,7410,7470,7300,7330,609217,4496463430,-0.27,2023-07-13
001530,21900,21950,21400,21500,75481,1626613200,-0.92,2023-07-13
000210,38700,39250,37800,37900,86674,3319103050,-0.92,2023-07-13
001880,13140,13290,13120,13140,9163,120742450,0.15,2023-07-13
000215,23150,23150,22700,22750,1034,23590450,0.44,2023-07-13
375500,31600,31850,31250,31500,206444,6497580100,0.32,2023-07-13
37550L,23200,23200,22600,22600,1516,34549700,-0.66,2023-07-13
37550K,19990,20000,19480,19600,1808,35463090,0.62,2023-07-13
007340,102700,102800,97000,97500,67479,6641094100,-4.97,2023-07-13
004840,5440,5550,5390,5400,15343,83626410,-0.18,2023-07-13
155660,4925,4930,4835,4930,25509,125225360,0.2,2023-07-13
069730,4700,4755,4670,4755,19927,93712295,1.49,2023-07-13
017940,50400,50500,49850,50200,4932,247188900,0.4,2023-07-13
365550,3950,3995,3895,3995,143311,563759730,2.17,2023-07-13
383220,119600,120900,117000,117500,169960,20056009500,-0.76,2023-07-13
007700,19500,19860,19350,19500,20978,409845100,0.1,2023-07-13
114090,14670,14810,14430,14430,398223,5784837270,-1.7,2023-07-13
078930,37050,37700,37000,37050,250391,9341519600,0.41,2023-07-13
006360,14250,14290,14090,14250,2323019,32952658420,0.21,2023-07-13
001250,2785,2820,2755,2760,646930,1797385665,-0.72,2023-07-13
007070,21850,22450,21850,21900,355043,7851016750,0.23,2023-07-13
078935,33800,33950,33500,33950,860,29093050,0.89,2023-07-13
012630,6120,6180,6100,6120,27969,171389940,-0.16,2023-07-13
039570,8180,8290,8180,8230,3746,30898030,0.61,2023-07-13
089470,4450,4450,4390,4400,54047,238313260,-0.9,2023-07-13
294870,10850,10920,10750,10820,236415,2560823730,-0.18,2023-07-13
009540,127900,129200,125700,129000,339359,43422704100,0.78,2023-07-13
267250,60000,60400,59500,59500,148238,8860909000,-0.34,2023-07-13
267270,85400,85800,81700,83900,207364,17243725500,-0.71,2023-07-13
322000,37850,38800,37700,38650,75455,2893099400,3.76,2023-07-13
042670,12250,12250,11800,11920,2970772,35388741970,-1.81,2023-07-13
267260,69600,69700,66600,69300,425077,29128467300,-0.14,2023-07-13
329180,143100,146400,141200,145500,188898,27264113300,1.96,2023-07-13
097230,4600,4770,4600,4620,180455,842893880,0.43,2023-07-13
014790,2585,2630,2565,2580,26428,68266860,-0.19,2023-07-13
003580,4500,4640,4500,4575,87656,401713525,1.67,2023-07-13
204320,52500,52700,51100,51500,377562,19469685900,-1.15,2023-07-13
060980,35700,35900,35050,35200,30467,1074662050,-1.95,2023-07-13
011200,19000,19450,18970,19250,1837631,35406643690,1.91,2023-07-13
082740,12090,12170,11750,12080,832680,9976705080,0.0,2023-07-13
003560,0,0,0,239,0,0,0.0,2023-07-13
175330,8250,8330,8180,8190,430354,3544359110,0.24,2023-07-13
234080,13280,13560,13180,13550,19634,263693060,2.03,2023-07-13
001060,28600,30500,28500,30450,961080,28758874300,8.56,2023-07-13
001067,62000,62000,59800,60000,561,33754200,-2.44,2023-07-13
