s_date,isin,rate
2023년 7월 25일, 아이오케이 (078860),1:30
2023년 7월 24일, KH 건설 (226360),1:15
2023년 7월 24일, KH 일렉트론 (111870),1:15
2023년 7월 24일, 지에프씨생명과학 (388610),3:01
2023년 7월 19일, 라이온켐텍 (171120),2:01
2023년 7월 19일, 세원이앤씨 (091090),1:05
2023년 7월 12일, HB솔루션 (297890),4:01
2023년 7월 12일, 다원넥스뷰 (323350),5:01
2023년 7월 12일, 오스템임플란트 (048260),1:10
2023년 7월 4일, 알비더블유 (361570),3:01
2023년 6월 30일, 포시에스 (189690),3:01
2023년 6월 27일, 토마토시스템 (393210),3:01
2023년 6월 26일, 꿈비 (407400),1.3:1
2023년 6월 23일, 엑스페릭스 (317770),7:01
2023년 6월 7일, 시티랩스 (139050),1:15
2023년 6월 1일, 동국홀딩스 (001230),1:5.99
2023년 5월 31일, TYM (002900),1.5:1
2023년 5월 22일, 제이아이테크 (417500),4:01
2023년 5월 15일, CBI (013720),1:10
2023년 5월 12일, DGP (060900),1:10
2023년 5월 12일, 센코 (347000),4:01
2023년 5월 9일, 탈로스 (434190),2:01
2023년 5월 8일, 나우IB (293580),10:01
2023년 5월 4일, 엘아이에스 (138690),1:24
2023년 5월 2일, 국보 (001140),1:10
2023년 5월 2일, 위지윅스튜디오 (299900),4:01
2023년 5월 1일, OCI홀딩스 (010060),1:1.45
2023년 5월 1일, 이수화학 (005950),1:1.25
2023년 4월 28일, 대한전선 (001440),1:10
2023년 4월 27일, TYM (002900),1:05
2023년 4월 19일, 신대양제지 (016590),10:01
2023년 4월 19일, 영풍제지 (006740),2.5:1
2023년 4월 19일, 제놀루션 (225220),2:01
2023년 4월 14일, DSNL (141020),1:04
2023년 4월 14일, 소프트센 (032685),2.5:1
2023년 4월 14일, 소프트센 (032680),2.5:1
2023년 4월 14일, 지티지웰니스 (219750),1:02
2023년 4월 14일, 프로스테믹스 (203690),1:05
2023년 4월 13일, 동원F&B (049770),5:01
2023년 4월 13일, 바이브컴퍼니 (301300),2:01
2023년 4월 13일, 티엘아이 (062860),5:01
2023년 4월 12일, DH오토웨어 (025440),1:05
2023년 4월 12일, 넥스턴 (089140),1:05
2023년 4월 12일, 리더스 기술투자 (019570),1:03
2023년 4월 12일, 미래아이앤지 (007120),1:05
2023년 4월 12일, 일성신약 (003120),5:01
2023년 4월 10일, 비케이홀딩스 (050090),1:04
2023년 4월 10일, 수출포장 (002200),10:01
2023년 4월 10일, 조광ILI (044060),1:05
2023년 4월 7일, 엔에이치스팩19호 (380440),1:05
2023년 4월 7일, 엔에이치스팩20호 (391060),1:05
2023년 4월 6일, 일신방직 (003200),10:01
2023년 4월 6일, 조선내화 (000480),10:01
2023년 3월 28일, 상상인인더스트리 (101000),1:04
2023년 3월 24일, 삼일제약 (000520),1.1:1
, 휴마시스 (205470),4:01
2023년 3월 20일, 에이프로젠 H&G (109960),1:05
2023년 3월 17일, 국제약품 (002720),1.05:1
2023년 3월 16일, HPSP (403870),4:01
2023년 3월 15일, HLB테라퓨틱스 (115450),2:01
2023년 3월 14일, 빛샘전자 (072950),1.3:1
, 아이센스 (099190),2:01
2023년 3월 13일, JW Pharmaceutical (001067),1.03:1
, JW Pharmaceutical (001065),1.03:1
, JW중외제약 (001060),1.03:1
, JW홀딩스 (096760),1.03:1
2023년 3월 9일, DT CRO (383930),2:01
, 엘브이엠씨 (900140),1.4:1
2023년 2월 28일, Earth Aerospace Manufacturing Ind (263540),5:01
, 압타머사이언스 (291650),2:01
2023년 2월 27일, 시노펙스 (025320),1.023:1
, 한화솔루션 (009830),1:1.11
, 한화케미칼우 (009835),1:1.11
, 현대그린푸드 (005440),1:1.53
2023년 2월 24일, 아모텍 (052710),1.5:1
2023년 2월 23일, 유투바이오 (221800),4:01
2023년 2월 14일, 비디아이 (148140),1:04
2023년 2월 3일, 하이로닉 (149980),1.1:1
2023년 1월 30일, 계양전기 (012200),1:1.2
, 계양전기우 (012205),1:1.2
2023년 1월 26일, IlWoul GML (178780),1:05
2023년 1월 20일, Earth Aerospace Manufacturing Ind (263540),1:05
2023년 1월 11일, 제넥신 (095700),1.3:1
, 지오엘리먼트 (311320),2:01
2023년 1월 9일, 한컴MDS (086960),4:01
2022년 12월 29일, 푸드나무 (290720),2:01
2022년 12월 28일, DI동일 (001530),1.025:1
, HLB (028300),1.043:1
, HLB테라퓨틱스 (115450),1.035:1
, JW신약 (067290),1.05:1
, KBG (318000),1.005:1
, SK이노베이션 (096770),1.034:1
, 가온미디어 (078890),1.03:1
, 고려제강 (002240),1.087:1
, 나스미디어 (089600),1.1:1
, 동아에스티 (170900),1.02:1
, 동일기연 (032960),1.05:1
, 메디톡스 (086900),1.05:1
, 미래컴퍼니 (049950),1.03:1
, 비나텍 (126340),1.05:1
, 삼진 (032750),1.12:1
, 서린바이오 (038070),1.024:1
, 서부T&D (006730),1.02:1
, 성우테크론 (045300),1.02:1
, 셀트리온 (068270),1.04:1
, 셀트리온제약 (068760),1.05:1
, 셀트리온헬스케어 (091990),1.04:1
, 신일제약 (012790),1.04:1
, 에이치시티 (072990),1.014:1
, 에이치엘비생명과학 (067630),1.052:1
, 에이치피오 (357230),1.04:1
, 에이프로젠 MED (007460),1:03
, 에코프로 (086520),1.03:1
, 유한양행 (000100),1.05:1
, 이테크건설 (016250),1.3:1
, 제놀루션 (225220),1.01:1
, 종근당 (185750),1.05:1
, 케이엠 (083550),1.05:1
, 코맥스 (036690),1.02:1
, 코오롱글로벌 (003070),1:1.33
, 코오롱글로벌우 (003075),1:1.33
, 코윈테크 (282880),1.03:1
, 한미사이언스 (008930),1.02:1
, 한미약품 (128940),1.02:1
2022년 12월 19일, QRT (405100),3:01
, 미스터블루 (207760),3:01
2022년 12월 16일, 하이트론 (019490),5:01
2022년 12월 15일, 스튜디오산타클로스 (204630),6:01
2022년 12월 14일, 아이큐어 (175250),1.2:1
2022년 12월 12일, 코리안리 (003690),1.2:1
2022년 12월 9일, 로스웰 (900260),1:05
, 이브이첨단소재 (131400),1:02
2022년 11월 25일, 제이준코스메틱 (025620),1:20
2022년 11월 23일, 동원산업 (006040),5:01
, 바이오플러스 (099430),4:01
